luminosity,liquid,class
0.15,0.1,3
0.15,0.1,3
0.15,0.1,3
0.15,0.1,3
0.2,0.1,3
0.2,0.1,1
0.2,0.1,1
0.2,0.1,3
0.1,0.1,3
0.1,0.1,3
0.1,0.1,3
0.1,0.1,3
0.2,0.1,3
0.2,0.1,3
0.2,0.1,3
0.2,0.1,3
0.15,0.1,3
0.15,0.1,3
0.15,0.1,3
0.15,0.1,3
0.2,0.1,3
0.2,0.1,3
0.2,0.1,3
0.2,0.1,3
0.15,0.5,3
0.15,0.5,3
0.15,0.5,3
0.15,0.5,3
0.25,1,2
0.25,1,2
0.25,1,2
0.25,1,2
0.2,0.5,1
0.2,0.5,3
0.2,0.5,3
0.2,0.5,3
0.15,0.3,3
0.15,0.3,3
0.15,0.3,3
0.15,0.3,3
0.1,0.3,3
0.1,0.3,3
0.1,0.3,3
0.1,0.3,3
0.25,0.5,3
0.25,0.5,3
0.25,0.5,3
0.25,0.5,3
0.2,0.3,3
0.2,0.3,3
0.2,0.3,3
0.2,0.3,3
0.15,0.3,3
0.15,0.3,3
0.15,0.3,3
0.15,0.3,3
0.1,0.5,3
0.1,0.5,3
0.1,0.5,3
0.1,0.5,3
0.15,1,2
0.15,1,2
0.15,1,2
0.15,1,2
0.1,1,2
0.1,1,2
0.1,1,2
0.1,1,2
0.2,1,2
0.2,1,2
0.2,1,2
0.2,1,2
561.5,0.1,1
561.5,0.1,1
561.5,0.1,1
561.5,0.1,1
652,0.1,1
652,0.1,1
652,0.1,1
652,0.1,1
689.5,0.1,1
689.5,0.1,1
689.5,0.1,1
689.5,0.1,1
609,0.1,1
609,0.1,1
609,0.1,1
609,0.1,1
544,0.1,1
544,0.1,1
544,0.1,1
544,0.1,1
668.5,0.3,1
668.5,0.3,1
668.5,0.3,1
668.5,0.3,1
603.5,0.3,3
603.5,0.3,1
603.5,0.3,1
603.5,0.3,3
513,0.3,1
513,0.3,1
513,0.3,1
513,0.3,1
587,0.5,1
587,0.5,1
587,0.5,1
587,0.5,1
546,0.5,1
546,0.5,2
546,0.5,1
546,0.5,1
662.5,0.5,1
662.5,0.5,1
662.5,0.5,1
662.5,0.5,1
601.5,0.3,1
601.5,0.3,1
601.5,0.3,1
601.5,0.3,1
511,0.3,1
511,0.3,1
511,0.3,1
511,0.3,1
613.5,1,1
613.5,1,4
613.5,1,4
666.5,1,4
666.5,1,4
666.5,1,4
666.5,1,4
607,1,1
607,1,1
607,1,1
607,1,1
490.5,0.5,1
490.5,0.5,1
490.5,0.5,1
354.5,0.1,1
354.5,0.1,1
354.5,0.1,1
354.5,0.1,1
406.5,0.1,1
406.5,0.1,1
406.5,0.1,1
406.5,0.1,2
411,0.1,1
411,0.1,1
411,0.1,1
411,0.1,1
377.5,0.1,1
377.5,0.1,1
377.5,0.1,1
377.5,0.1,1
320.5,0.1,1
320.5,0.1,1
320.5,0.1,1
320.5,0.1,1
338.5,0.3,1
338.5,0.3,1
338.5,0.3,1
338.5,0.3,1
409.5,0.3,1
409.5,0.3,3
409.5,0.3,1
409.5,0.3,1
384.5,0.3,1
384.5,0.3,1
384.5,0.3,1
384.5,0.3,1
309.5,0.3,1
309.5,0.3,1
309.5,0.3,1
309.5,0.3,1
347,0.5,3
347,0.5,3
347,0.5,1
347,0.5,1
410,0.5,3
410,0.5,3
410,0.5,1
410,0.5,3
360.5,0.5,1
360.5,0.5,3
360.5,0.5,3
360.5,0.5,3
304,0.5,1
304,0.5,3
304,0.5,3
304,0.5,3
324.5,1,3
324.5,1,3
324.5,1,2
324.5,1,2
390,1,3
390,1,3
390,1,2
390,1,2
370.5,1,2
370.5,1,2
370.5,1,2
370.5,1,2
311,1,2
311,1,2
311,1,2
311,1,2